market_group,window_sec,date,title,score,margin,winner,question,line,required_margin,cushion,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,conditionId,token,page_errors,error
moneyline,60,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,,,3,16,3515.71,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,16,3515.71,0xcee0d9074a1f8766b4f66d806608a4097d027c94f85de367410fbbb166a29424,60561627760165737508115128719081450929284195423420376549887420810076954490283,[],
moneyline,120,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,,,3,24,10000.41,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,24,10000.41,0xcee0d9074a1f8766b4f66d806608a4097d027c94f85de367410fbbb166a29424,60561627760165737508115128719081450929284195423420376549887420810076954490283,[],
moneyline,180,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,,,3,37,11049.22,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,37,11049.22,0xcee0d9074a1f8766b4f66d806608a4097d027c94f85de367410fbbb166a29424,60561627760165737508115128719081450929284195423420376549887420810076954490283,[],
moneyline,300,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,,,3,70,22339.26,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,70,22339.26,0xcee0d9074a1f8766b4f66d806608a4097d027c94f85de367410fbbb166a29424,60561627760165737508115128719081450929284195423420376549887420810076954490283,[],
moneyline,480,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Will Norway win on 2026-06-16?,,,3,132,70803.11,0.997,0.999,0.2919,0.0971,0,0,0,0,0,0,0,0,132,70803.11,0xcee0d9074a1f8766b4f66d806608a4097d027c94f85de367410fbbb166a29424,60561627760165737508115128719081450929284195423420376549887420810076954490283,[],
moneyline,60,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,,,3,58,1114390.09,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,58,1114390.09,0x2a7a6ab8f4984f1ae82eacd7fb408832a50e63162ac6b98fff1fe094b8e9d3b5,7496871387824498705150337097986995704782987980926026827618928384721521953608,[],
moneyline,120,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,,,3,84,1116611.01,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,84,1116611.01,0x2a7a6ab8f4984f1ae82eacd7fb408832a50e63162ac6b98fff1fe094b8e9d3b5,7496871387824498705150337097986995704782987980926026827618928384721521953608,[],
moneyline,180,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,,,3,116,1121065.94,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,116,1121065.94,0x2a7a6ab8f4984f1ae82eacd7fb408832a50e63162ac6b98fff1fe094b8e9d3b5,7496871387824498705150337097986995704782987980926026827618928384721521953608,[],
moneyline,300,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,,,3,181,1131007.61,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,181,1131007.61,0x2a7a6ab8f4984f1ae82eacd7fb408832a50e63162ac6b98fff1fe094b8e9d3b5,7496871387824498705150337097986995704782987980926026827618928384721521953608,[],
moneyline,480,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Will Argentina win on 2026-06-16?,,,3,189,1134123.61,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,189,1134123.61,0x2a7a6ab8f4984f1ae82eacd7fb408832a50e63162ac6b98fff1fe094b8e9d3b5,7496871387824498705150337097986995704782987980926026827618928384721521953608,[],
moneyline,60,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,,,2,54,10654.34,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,54,10654.34,0x15869f0d05e99ad5789f647685b2eedbbe4201f8910a2bdb70e5716bd3674e8f,20499437472769847560241881624039508074540415562884114297532631910880371793587,[],
moneyline,120,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,,,2,117,34650.72,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,117,34650.72,0x15869f0d05e99ad5789f647685b2eedbbe4201f8910a2bdb70e5716bd3674e8f,20499437472769847560241881624039508074540415562884114297532631910880371793587,[],
moneyline,180,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,,,2,176,56265.965496,0.989,0.999,1.0792,0.0971,0,0,0,0,7,5275.91,29,17460.87,176,56265.965496,0x15869f0d05e99ad5789f647685b2eedbbe4201f8910a2bdb70e5716bd3674e8f,20499437472769847560241881624039508074540415562884114297532631910880371793587,[],
moneyline,300,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,,,2,304,128626.828607,0.96,0.999,4.0467,0.0971,8,6869.842473,20,21628.398063,102,58911.547321,138,88096.492431,304,128626.828607,0x15869f0d05e99ad5789f647685b2eedbbe4201f8910a2bdb70e5716bd3674e8f,20499437472769847560241881624039508074540415562884114297532631910880371793587,[],
moneyline,480,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Will Austria win on 2026-06-17?,,,2,475,179160.880234,0.93,0.999,7.3169,0.0971,179,57403.8941,191,72162.44969,273,109445.598948,309,138630.544058,475,179160.880234,0x15869f0d05e99ad5789f647685b2eedbbe4201f8910a2bdb70e5716bd3674e8f,20499437472769847560241881624039508074540415562884114297532631910880371793587,[],
moneyline,60,2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,,,2,77,12253.16,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,77,12253.16,0xb361c29b5481164886627cb175ed76792df30902e66ec329c0a3853f807fe8e9,45513813860398961340723481590130352932611791552209098368268600222240572304551,[],
moneyline,120,2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,,,2,105,29719.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,105,29719.53,0xb361c29b5481164886627cb175ed76792df30902e66ec329c0a3853f807fe8e9,45513813860398961340723481590130352932611791552209098368268600222240572304551,[],
moneyline,180,2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,,,2,139,48875.41,0.998,0.999,0.1944,0.0971,0,0,0,0,0,0,0,0,139,48875.41,0xb361c29b5481164886627cb175ed76792df30902e66ec329c0a3853f807fe8e9,45513813860398961340723481590130352932611791552209098368268600222240572304551,[],
moneyline,300,2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,,,2,207,81218.066,0.991,0.999,0.8812,0.0971,0,0,0,0,0,0,1,29.43,207,81218.066,0xb361c29b5481164886627cb175ed76792df30902e66ec329c0a3853f807fe8e9,45513813860398961340723481590130352932611791552209098368268600222240572304551,[],
moneyline,480,2026-06-17,England vs. Croatia,4-2,2,England,Will England win on 2026-06-17?,,,2,309,159383.769689,0.991,0.999,0.8812,0.0971,0,0,0,0,0,0,1,29.43,309,159383.769689,0xb361c29b5481164886627cb175ed76792df30902e66ec329c0a3853f807fe8e9,45513813860398961340723481590130352932611791552209098368268600222240572304551,[],
moneyline,60,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,,,2,37,12873.26,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,37,12873.26,0x2f00e48e914ba6606867a6347e90c48cc1fd4da66cc196a191786637f40848e9,107303881689780116979934419713652545873528717512161697004408881489729317049047,[],
moneyline,120,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,,,2,77,30824.79,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,77,30824.79,0x2f00e48e914ba6606867a6347e90c48cc1fd4da66cc196a191786637f40848e9,107303881689780116979934419713652545873528717512161697004408881489729317049047,[],
moneyline,180,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,,,2,140,54007.35,0.99,0.999,0.9801,0.0971,0,0,0,0,3,2331.4,7,2406.4,140,54007.35,0x2f00e48e914ba6606867a6347e90c48cc1fd4da66cc196a191786637f40848e9,107303881689780116979934419713652545873528717512161697004408881489729317049047,[],
moneyline,300,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,,,2,315,112824.158564,0.92,0.999,8.4557,0.0971,144,54435.673137,153,56711.906786,178,61148.208564,182,61223.208564,315,112824.158564,0x2f00e48e914ba6606867a6347e90c48cc1fd4da66cc196a191786637f40848e9,107303881689780116979934419713652545873528717512161697004408881489729317049047,[],
moneyline,480,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Will Colombia win on 2026-06-17?,,,2,432,144101.781593,0.92,0.999,8.4557,0.0971,261,85713.296166,270,87989.529815,295,92425.831593,299,92500.831593,432,144101.781593,0x2f00e48e914ba6606867a6347e90c48cc1fd4da66cc196a191786637f40848e9,107303881689780116979934419713652545873528717512161697004408881489729317049047,[],
moneyline,60,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,,,3,34,10457.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,34,10457.11,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,[],
moneyline,120,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,,,3,49,11602.05,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,49,11602.05,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,[],
moneyline,180,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,,,3,74,15779.93,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,74,15779.93,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,[],
moneyline,300,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,,,3,130,27435.63,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,130,27435.63,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,[],
moneyline,480,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Will Switzerland win on 2026-06-18?,,,3,259,50469.49,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,259,50469.49,0x870bb248c96c52dcf35390a66542471c5bba2896942d6bc97ade41a418646ba8,106591280142630626115724651117201657682325101150171422307265130569697670708657,[],
moneyline,60,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,,,6,4,200.25,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,4,200.25,0xc90f95af1a5d4e392fe9cc484f1b1a0983687865e7b85910ae89300c2076e4a1,72434460309427898004674696764153066565237298072408402131497058701161364650505,[],
moneyline,120,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,,,6,5,201.56,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,5,201.56,0xc90f95af1a5d4e392fe9cc484f1b1a0983687865e7b85910ae89300c2076e4a1,72434460309427898004674696764153066565237298072408402131497058701161364650505,[],
moneyline,180,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,,,6,6,206.81,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,6,206.81,0xc90f95af1a5d4e392fe9cc484f1b1a0983687865e7b85910ae89300c2076e4a1,72434460309427898004674696764153066565237298072408402131497058701161364650505,[],
moneyline,300,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,,,6,10,279.01,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,10,279.01,0xc90f95af1a5d4e392fe9cc484f1b1a0983687865e7b85910ae89300c2076e4a1,72434460309427898004674696764153066565237298072408402131497058701161364650505,[],
moneyline,480,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Will Canada win on 2026-06-18?,,,6,14,1787.16,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,14,1787.16,0xc90f95af1a5d4e392fe9cc484f1b1a0983687865e7b85910ae89300c2076e4a1,72434460309427898004674696764153066565237298072408402131497058701161364650505,[],
moneyline,60,2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,,,2,37,9384.84,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,37,9384.84,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,39108014906147153132558864303811863989716119429482110734018531773663181557097,[],
moneyline,120,2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,,,2,72,73625.67,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,72,73625.67,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,39108014906147153132558864303811863989716119429482110734018531773663181557097,[],
moneyline,180,2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,,,2,98,75340.25,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,98,75340.25,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,39108014906147153132558864303811863989716119429482110734018531773663181557097,[],
moneyline,300,2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,,,2,150,99082.08101,0.998,0.999,0.1944,0.0971,0,0,0,0,0,0,0,0,150,99082.08101,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,39108014906147153132558864303811863989716119429482110734018531773663181557097,[],
moneyline,480,2026-06-19,United States vs. Australia,2-0,2,United States,Will United States win on 2026-06-19?,,,2,297,230739.448317,0.995,0.999,0.4875,0.0971,0,0,0,0,0,0,8,2310.94,297,230739.448317,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,39108014906147153132558864303811863989716119429482110734018531773663181557097,[],
moneyline,60,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,,,3,2,164.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,2,164.53,0xc90381f6021b8dc8d07dd3d783d3927f34706f8ce1ed097b21cc92f31b5be076,103041090730063233481678246468943921262520375914356653176409396265510672924686,[],
moneyline,120,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,,,3,9,3785.84,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,9,3785.84,0xc90381f6021b8dc8d07dd3d783d3927f34706f8ce1ed097b21cc92f31b5be076,103041090730063233481678246468943921262520375914356653176409396265510672924686,[],
moneyline,180,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,,,3,17,16873.87,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,17,16873.87,0xc90381f6021b8dc8d07dd3d783d3927f34706f8ce1ed097b21cc92f31b5be076,103041090730063233481678246468943921262520375914356653176409396265510672924686,[],
moneyline,300,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,,,3,25,17659.19,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,25,17659.19,0xc90381f6021b8dc8d07dd3d783d3927f34706f8ce1ed097b21cc92f31b5be076,103041090730063233481678246468943921262520375914356653176409396265510672924686,[],
moneyline,480,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Will Brazil win on 2026-06-19?,,,3,30,18279.79,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,30,18279.79,0xc90381f6021b8dc8d07dd3d783d3927f34706f8ce1ed097b21cc92f31b5be076,103041090730063233481678246468943921262520375914356653176409396265510672924686,[],
moneyline,60,2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Will Netherlands win on 2026-06-20?,,,4,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0xde92d563a6d742a4750c8c83a9c490ee5b02bd5d972a1765ab41c0f9095ef6c0,81043398291360463170235957547610256181022662944963722274721633505163503937838,[],
moneyline,120,2026-06-20,Netherlands vs. Sweden,5-1,4,Netherlands,Will Netherlands win on 2026-06-20?,,,4,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0xde92d563a6d742a4750c8c83a9c490ee5b02bd5d972a1765ab41c0f9095ef6c0,81043398291360463170235957547610256181022662944963722274721633505163503937838,[],
